Geneid,AK006F,AK007F,AK008F,AK010F,AK012F,AK014F,AK016F,AK017F,AK018F,AK019_20F,AK021_22F,AK029_30F,AK034F,AK098F,AK102F,AK117F,AK123F,AK133F,AK134F,AK135F,AK136F,AK137F,AK138F
ENSG00000089012,24.5,21.37,30.12,4.75,2,21.4,44.22,24.03,23.95,47.8,39.21,44.64,12.74,47.1,17.19,21.65,8.13,54.37,28.64,5.75,15.73,19.23,26.34
ENSG00000198053,475.33,391.12,621.65,110,11.17,424.23,600.3,565.28,665.7,1329.61,984.71,880,345.99,920.72,359.59,538.57,204.3,1751.55,745.73,85.75,326.39,643.31,604.89
ENSG00000101327,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2,0,1
ENSG00000125834,141,144,203.08,137,9,210,195,198,230,1094,747.2,1087.5,125,360,254,242,162,588,541,163,113,216,242
ENSG00000125780,3,1,0,1,0,3,3,2,2,9,4,5,0,18,0,10,2,22,8.33,0,3,2,1
ENSG00000166948,0,0,0,0,0,0,0,1,0,1,2,1.2,0,0,0,1,0,0,0,1,0,0.46,0
ENSG00000125835,5543.17,5020.83,8961.67,1475.33,116.5,9616.33,8154,9857.33,8916.1,11588,10798.5,13163.5,4533.67,16755.66,4854.33,12099.83,4168.5,24642.91,10846.5,1044,4611,12587,12794.5
ENSG00000256566,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000088876,12.52,11,13,20,1,39.03,44.64,41,50.54,157.68,155.89,215.02,35.36,63.83,49,74.44,56,93.11,80.3,22.05,14.5,35.4,63.54
ENSG00000149488,0,0,0,0,0,1,0.33,0,0,1,0,2.5,0,0,0,0,1,1.5,0,0,0,0,1
ENSG00000101361,816.08,1008.33,1328.17,1000,335.42,2674.83,2504.83,3433.53,3502.67,8528.83,6391,5868.08,1190.75,3780.25,1152.75,3429,1507.33,4438,3304.08,1428.33,950.83,2276.5,5067.95
ENSG00000101365,693,778,1170,168,35,1751,1609.5,2074,1977,1924.2,2139,1714.5,743,2738.5,490,2212,658,2954,1167.5,107,705,1674,2085
ENSG00000088881,8,13,14,6,6,15,11,25,24,110,41,26.1,35,14,7,14,10,72,35,37,5.33,13,82
ENSG00000088882,0,0,0,1,0,0.1,0,0,0,3,0.2,0,1,0,0,0,0,2,0,2,0.25,1,0
ENSG00000241690,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000258713,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,1,3,1,0,0,1,0,5
ENSG00000198326,0,0,0,0,0,0,0,0,0,4,0,0,1.67,0,1,0,0,0,0,2,0,0,1
ENSG00000132635,86,141,124,64,31,49,44,50,62,950,242,122,149,138,46,71,30,194,81,140,33,65,234
ENSG00000215305,151,205,268,75,29,661,557,734,723,1001,814,643,310.5,1117.5,164,736,195,730,273,128,241,503,828
ENSG00000132670,726,444,667,131,13,546,675,650.5,692,1400,957,754.88,402,911.5,245,633,188,1937,571.5,108.5,271.7,566,876.5
ENSG00000125787,0,0,1,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,1.5,0,0,1
ENSG00000125901,1499,1649,2321,577,43,1678,1489,1736,1761,6160,4343,4418,1035,3066.5,1138,1530,683,5371.5,2800,340,977,2091,1908
ENSG00000101405,0,0,0,0,0,0,0,0,0,3.22,0,0.33,0,0,0.12,0,0,0.11,0,1,0,0.33,0
ENSG00000101200,1,0,1,0,0,0,0,0,0,1.22,0,0.33,0,0,0.12,0,0,1,0,0,0,0,0
ENSG00000185019,26,31,44,12,8,89,67,80,76,212,203,202,50,210,77,126,65,118,139,21,43,124,156
